iter	RMSE
210	0.5590976727
211	0.5586663054
212	0.5582334541
213	0.5578528961
214	0.557391756
215	0.5570580325
216	0.5566313817
217	0.5562138346
218	0.5557326296
219	0.5552587387
220	0.5546187442
221	0.5541328605
222	0.5539145774
223	0.5537115499
224	0.553443671
225	0.5530458276
226	0.5527747592
227	0.5525917254
228	0.5523485258
229	0.5518142033
230	0.5514873566
231	0.5509111343
232	0.5508184853
233	0.55040029
234	0.5502121133
235	0.5497967804
236	0.5495196797
237	0.5491748337
238	0.5488049355
239	0.5484368462
240	0.5479914666
241	0.5474342683
242	0.547344827
243	0.5471914965
244	0.5469875303
245	0.5464888164
246	0.5463718079
247	0.5458124196
248	0.5457320636
249	0.5453931126
250	0.5451257302
251	0.5446963447
252	0.5445594874
253	0.5442744641
254	0.5439559113
255	0.5435274722
256	0.5431586743
257	0.5427130941
258	0.5423936533
259	0.5421568059
260	0.5418696758
261	0.541647962
262	0.5413596758
263	0.5410742974
264	0.5409897957
265	0.5406364412
266	0.5402027859
267	0.5400169534
268	0.5396970563
269	0.5392670967
270	0.5387874188
271	0.5384219905
272	0.5381766429
273	0.5377814713
274	0.5376999086
275	0.5374002883
276	0.5371956748
277	0.5369601318
278	0.5365056491
279	0.536116605
280	0.535912767
281	0.5358329849
282	0.5354809783
283	0.5353078227
284	0.5349791427
285	0.5346182457
286	0.5343534238
287	0.5342293783
288	0.5336856501
289	0.5333472552
290	0.5329397194
291	0.5325163364
292	0.5321701666
293	0.5320923624
294	0.5317031231
295	0.5314280071
296	0.5310521079
297	0.5306881887
298	0.530612305
299	0.5304088495
300	0.5300550303
301	0.5298601805
302	0.5295850419
303	0.5293000724
304	0.5291662732
305	0.5287189894
306	0.5283462919
307	0.5279573444
308	0.5278833644
309	0.5277674103
310	0.527400802
311	0.5271728742
312	0.5268246482
313	0.5262726515
314	0.5261999458
315	0.5259301407
316	0.5257090641
317	0.5255514347
318	0.525412361
319	0.5253413542
320	0.5250056037
321	0.5248263861
322	0.524760282
323	0.5243372819
324	0.5240829635
325	0.523858015
326	0.5236535727
327	0.5233258079
328	0.5228440569
329	0.522774956
330	0.5226411328
331	0.5222145477
332	0.5219575246
333	0.5216612136
334	0.5215931512
335	0.5212466262
336	0.5209767194
337	0.5206641025
338	0.5202189058
339	0.5200063069
340	0.519776324
341	0.5196686024
342	0.519532782
343	0.5189299602
344	0.518863016
345	0.5186023225
346	0.5183737269
347	0.5181148099
348	0.5178661738
349	0.5177879243
350	0.5176008202
351	0.5174212822
352	0.5170437643
353	0.5167425779
354	0.5163231961
355	0.5162213394
356	0.516156763
357	0.516073731
358	0.5158392534
359	0.5155155407
360	0.5154560763
361	0.5153460752
362	0.5149424617
363	0.514690033
364	0.51448992
365	0.51409221
366	0.5139323664
367	0.5138408699
368	0.513487956
369	0.5133029952
370	0.5131124321
371	0.512843514
372	0.5127901842
373	0.5125181435
374	0.5120578274
375	0.5116873027
376	0.5116255335
377	0.5115650645
378	0.5112400641
379	0.5108770073
380	0.510582889
381	0.5103740233
382	0.5102909005
383	0.5100612992
384	0.5098545527
385	0.5095786053
386	0.5092378874
387	0.509065103
388	0.5087774615
389	0.508719728
390	0.5084297923
391	0.5082182671
392	0.5079384354
393	0.5076247729
394	0.5074287203
395	0.507309381
396	0.507000372
397	0.5069416359
398	0.5066087894
399	0.5062414908
400	0.5059672295
401	0.5056726114
402	0.505336577
403	0.5050483686
404	0.5047926122
405	0.5045527754
406	0.5043682505
407	0.5040841357
408	0.5040264136
409	0.5036644088
410	0.5035025038
411	0.5033449237
412	0.5032462006
413	0.5031334765
414	0.5027689949
415	0.502522466
416	0.5024672837
417	0.5021300998
418	0.5017555264
419	0.5016084384
420	0.5012638308
421	0.5009902554
422	0.5008616696
423	0.5006350567
424	0.5005808841
425	0.5004199625
426	0.5002350666
427	0.4999915467
428	0.4998888301
429	0.4995830507
430	0.4993799685
431	0.4990520946
432	0.4989675533
433	0.4986458135
434	0.4983659966
435	0.4981299825
436	0.4980761322
437	0.4978909291
438	0.4975532386
439	0.4973481656
440	0.497205442
441	0.4970165035
442	0.4967124498
443	0.4964155526
444	0.4963629091
445	0.4961051617
446	0.4958909575
447	0.4957017103
448	0.4954791086
449	0.4952132884
450	0.4950981367
451	0.4948455342
452	0.494666172
453	0.4945340704
454	0.4943542228
455	0.4942395846
456	0.4941878489
457	0.4940254302
458	0.493912401
459	0.493861369
460	0.4935078997
461	0.4934578569
462	0.4932232526
463	0.4929274926
464	0.4924169707
465	0.4921848907
466	0.4921071875
467	0.4918118695
468	0.4916872878
469	0.4916205135
470	0.4915708795
471	0.4910875732
472	0.4910386158
473	0.4907265398
474	0.4906548577
475	0.4904905045
476	0.4903563975
477	0.4901301047
478	0.4898672043
479	0.489818847
480	0.489638208
481	0.4894825514
482	0.4894370142
483	0.4893509428
484	0.4889221389
485	0.4885624443
486	0.4885152391
487	0.4884645476
488	0.4883246259
489	0.4881834893
490	0.4879489973
491	0.4879027266
492	0.4878538131
493	0.4878059974
494	0.4877592349
495	0.4877134452
496	0.4874841532
497	0.4874393136
498	0.4873953692
499	0.4873522242
500	0.4873126458
501	0.4871955723
502	0.4870894091
503	0.4868793158
504	0.4867380054
505	0.4865755054
506	0.4863765365
507	0.4862063616
508	0.4861195373
509	0.48604713
510	0.4858219315
511	0.4855696341
512	0.4853229443
513	0.4851588422
514	0.4850839582
515	0.4848478906
516	0.4846533847
517	0.484473323
518	0.4842134174
519	0.4840093624
520	0.4838544743
521	0.4834329754
522	0.4830879368
523	0.4828789476
524	0.482834662
525	0.4824181912
526	0.4822644695
527	0.4821198122
528	0.4819242263
529	0.4817170842
530	0.4816067155
531	0.4813467497
532	0.4811693391
533	0.4810817354
534	0.4808530458
535	0.4807839426
536	0.4805070782
537	0.4803632218
538	0.4803197034
539	0.4800822982
540	0.4800392669
541	0.4798179721
542	0.4796322312
543	0.4793363282
544	0.4793013914
545	0.4789768891
546	0.4787807653
547	0.4786704
548	0.4783970042
549	0.4783547241
550	0.4781437659
551	0.4779826328
552	0.4777869012
553	0.4775290898
554	0.4773117667
555	0.4769281816
556	0.4767241388
557	0.4766231858
558	0.476517808
559	0.4764762589
560	0.4763218496
561	0.4762155276
562	0.4760078207
563	0.4759659659
564	0.4759005254
565	0.4756618361
566	0.4753699424
567	0.4753314547
568	0.4751506595
569	0.4751101775
570	0.4750692734
571	0.4748192006
572	0.4746143672
573	0.4743524694
574	0.4742311101
575	0.4741282099
576	0.4740874957
577	0.4737082725
578	0.4733993006
579	0.4732234512
580	0.4730628093
581	0.4729304311
582	0.4726670032
583	0.4725823318
584	0.4724790768
585	0.4722393227
586	0.4720885623
587	0.4717868621
588	0.4716643814
589	0.4714714833
590	0.4713595528
591	0.4711844895
592	0.4708732957
593	0.4707908959
594	0.4705202742
595	0.470482418
596	0.4704434567
597	0.4703952671
598	0.4700976344
599	0.4699425386
600	0.4698735557
601	0.4696747194
602	0.4696138628
603	0.4695193239
604	0.4694536999
605	0.4693467949
606	0.4693075563
607	0.4691438378
608	0.4689397097
609	0.4688541074
610	0.4688152018
611	0.4687347469
612	0.4685663849
613	0.4684946633
614	0.468457543
615	0.46842307
616	0.4683166274
617	0.4681256551
618	0.4679482718
619	0.4676851458
620	0.4675721352
621	0.467447239
622	0.4674007917
623	0.4672922879
624	0.4672542754
625	0.467200296
626	0.4671626006
627	0.4670125369
628	0.4668195469
629	0.4667819781
630	0.4666298127
631	0.4665331173
632	0.4663252736
633	0.4662178491
634	0.4661381694
635	0.4660388896
636	0.4657824505
637	0.4655785784
638	0.4654771759
639	0.4653037793
640	0.4652704641
641	0.4652332033
642	0.4649680928
643	0.4647597205
644	0.4644712789
645	0.4644344471
646	0.4643335289
647	0.4642607846
648	0.4640926031
649	0.4639718807
650	0.4639128575
651	0.4638762547
652	0.4636664742
653	0.4635215786
654	0.4633922447
655	0.4632696781
656	0.4632155819
657	0.4629564122
658	0.4628753893
659	0.4628415096
660	0.4626134946
661	0.4624235125
662	0.4623307137
663	0.4620640352
664	0.4620087894
665	0.4619723979
666	0.4619382675
667	0.4617491668
668	0.4615275782
669	0.4612863396
670	0.4610967708
671	0.4610066511
672	0.4609106762
673	0.460691677
674	0.4606571386
675	0.4604815353
676	0.4604458313
677	0.4601938553
678	0.4599892745
679	0.4598871165
680	0.4598517764
681	0.4598165931
682	0.4597062567
683	0.459534933
684	0.4593955221
685	0.459226121
686	0.4590697923
687	0.4588370153
688	0.4585957534
689	0.4584510935
690	0.4583994374
691	0.4582174741
692	0.4581822863
693	0.4581098809
694	0.4580424125
695	0.4579267523
696	0.45789346
697	0.4578590748
698	0.4577596996
699	0.4577103261
700	0.4576791016
701	0.4574666913
702	0.4574242471
703	0.4571569281
704	0.4569020964
705	0.4568516482
706	0.4567403721
707	0.4566806878
708	0.456440629
709	0.4562797131
710	0.4562314682
711	0.4560996021
712	0.4560662532
713	0.4559055468
714	0.4558739247
715	0.4556888001
716	0.4555599508
717	0.4554699281
718	0.4552447318
719	0.4552128715
720	0.4551259238
721	0.4550186101
722	0.4549601353
723	0.4549270142
724	0.4546361691
725	0.4544639367
726	0.4543599327
727	0.4542715789
728	0.454092831
729	0.4540007035
730	0.4538889837
731	0.4537739784
732	0.4536208084
733	0.453486207
734	0.4533634951
735	0.4533139292
736	0.4532809573
737	0.4532207865
738	0.453189865
739	0.4530371055
740	0.4528732343
741	0.4526275053
742	0.4525949243
743	0.4525232487
744	0.4524909081
745	0.4523310588
746	0.452211179
747	0.4521537928
748	0.4520662436
749	0.4519136713
750	0.4517485389
751	0.4515641771
752	0.4514936562
753	0.4514478374
754	0.4513995177
755	0.4512012362
756	0.4511688538
757	0.4509583162
758	0.4507739367
759	0.4506498002
760	0.450547669
761	0.450515729
762	0.4504841015
763	0.4504421973
764	0.4503622152
765	0.4503105324
766	0.4501691979
767	0.450116358
768	0.4500848919
769	0.4500536455
770	0.4499842129
771	0.4498286517
772	0.4497638874
773	0.4496172268
774	0.4495864143
775	0.4493301248
776	0.4492994052
777	0.4491047719
778	0.4488979612
779	0.4487706226
780	0.4487399911
781	0.4485831972
782	0.448470061
783	0.4483150643
784	0.448174962
785	0.4481445857
786	0.4480824446
787	0.4480404374
788	0.4479064553
789	0.4477491678
790	0.4476109469
791	0.4473352051
792	0.4472922197
793	0.4471423246
794	0.4470672764
795	0.4468883685
796	0.4467662617
797	0.446529155
798	0.4463246218
799	0.4461024045
800	0.4460511163
801	0.4459351023
802	0.445779265
803	0.4456795217
804	0.4454663356
805	0.4454360846
806	0.4454059124
807	0.4452818028
808	0.4452518314
809	0.44510063
810	0.4449775263
811	0.4449295095
812	0.4448625038
813	0.444663156
814	0.4445348334
815	0.4445063887
816	0.4443467164
817	0.4442808046
818	0.4442531731
819	0.4441702029
820	0.4441407684
821	0.4440283658
822	0.4439619949
823	0.4439044674
824	0.4437896516
825	0.4437604597
826	0.4436043505
827	0.4435757237
828	0.4434814267
829	0.4432893402
830	0.4430988135
831	0.4430708708
832	0.4430418847
833	0.4429230738
834	0.442748022
835	0.4425077438
836	0.4423935585
837	0.4423659898
838	0.4423204668
839	0.4421250139
840	0.4420964372
841	0.4418195654
842	0.4417224212
843	0.4416954825
844	0.4416040763
845	0.4414954578
846	0.4413663099
847	0.4413245747
848	0.4412093051
849	0.441181124
850	0.4410960197
851	0.441056363
852	0.4408424882
853	0.4407229697
854	0.4406503576
855	0.4404942996
856	0.4403497114
857	0.4402869031
858	0.4402046618
859	0.4401402366
860	0.440018734
861	0.4399107192
862	0.4397891734
863	0.4396933492
864	0.4396652789
865	0.4396057875
866	0.4395784401
867	0.4395328781
868	0.4394029786
869	0.4392401007
870	0.4392123934
871	0.439071878
872	0.4390443985
873	0.438846552
874	0.4385998926
875	0.4385609435
876	0.4385334805
877	0.4383806196
878	0.4382951421
879	0.4382301842
880	0.4381033299
881	0.4379611044
882	0.4379271533
883	0.4377422794
884	0.4376246141
885	0.4375247706
886	0.437325117
887	0.4371822637
888	0.4371564933
889	0.437026681
890	0.436856363
891	0.4368091414
892	0.4367819377
893	0.4367218545
894	0.4366948003
895	0.4366420695
896	0.4364896626
897	0.4362966816
898	0.4362531214
899	0.4361006872
900	0.4360122871
901	0.4357352375
902	0.4356211215
903	0.4355652077
904	0.4355384177
905	0.4354092783
906	0.4353826202
907	0.4353431584
908	0.4351575256
909	0.4351318292
910	0.4350823633
911	0.4349778887
912	0.4348171539
913	0.4347907175
914	0.43464699
915	0.4345989371
916	0.4345227754
917	0.4344958261
918	0.4343914563
919	0.4343639285
920	0.4343369278
921	0.4342590665
922	0.43423261
923	0.4341713364
924	0.4341457555
925	0.4341206609
926	0.434096831
927	0.4339048156
928	0.4338254583
929	0.4338010759
930	0.433734442
931	0.4335768773
932	0.433538255
933	0.4334143595
934	0.4333916603
935	0.4333196518
936	0.4332959845
937	0.4330256591
938	0.4329363712
939	0.4328049761
940	0.4326940317
941	0.4325492893
942	0.4324784952
943	0.4322897982
944	0.4321132141
945	0.4320567694
946	0.4318753804
947	0.4316854434
948	0.4315765835
949	0.4314570611
950	0.431327428
951	0.4311478589
952	0.4310293865
953	0.4309213245
954	0.430754644
955	0.4305819779
956	0.4305122092
957	0.4303842251
958	0.4303589477
959	0.4303347684
960	0.4302899806
961	0.4301609928
962	0.4300642541
963	0.4299541074
964	0.4298716751
965	0.4297714568
966	0.4297464932
967	0.4295439242
968	0.4295190624
969	0.4294592817
970	0.4293170704
971	0.4291367983
972	0.4289666044
973	0.4288310526
974	0.4287502261
975	0.4287126829
976	0.4285584712
977	0.4283933737
978	0.4283099063
979	0.4281802487
980	0.428155362
981	0.4281306429
982	0.4281076335
983	0.4280500848
984	0.4278215577
985	0.4276792396
986	0.4276411601
987	0.4276168005
988	0.4275509135
989	0.4275293555
990	0.4273809883
991	0.4272236917
992	0.4270771157
993	0.4270198824
994	0.4269840292
995	0.4267419382
996	0.4265944865
997	0.4263846798
998	0.4262865307
999	0.4261436871
